task_id,task_type,title,order_no,customer_code,created_at,due_date,current_status,risk_level,suggested_bucket,suggested_action,reason,safe_to_auto_close,requires_damon_decision
t-pt-op1cklxq,payment_term_confirm,Confirm payment term · FS20260210028,FS20260210028,CN-00048,2026-04-28T16:39:46.681Z,2026-05-01T16:39:46.681Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-v05tp1as,payment_term_confirm,Confirm payment term · FS20260223066,FS20260223066,CN-00040,2026-04-28T16:39:46.682Z,2026-05-01T16:39:46.682Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-yov7ep4a,payment_term_confirm,Confirm payment term · FS20260123018,FS20260123018,CN-00048,2026-04-28T16:39:46.683Z,2026-05-01T16:39:46.683Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-ob6xzyvd,payment_term_confirm,Confirm payment term · FS20260320009,FS20260320009,CN-00040,2026-04-28T16:39:46.685Z,2026-05-01T16:39:46.685Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-6goe7dn3,payment_term_confirm,Confirm payment term · FS20260220055,FS20260220055,CN-00038,2026-04-28T16:39:46.687Z,2026-05-01T16:39:46.687Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-mgqlzbj6,payment_term_confirm,Confirm payment term · FS20260223020-2,FS20260223020-2,CN-00042,2026-04-28T16:39:46.688Z,2026-05-01T16:39:46.688Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-806gcjf5,payment_term_confirm,Confirm payment term · FS20260310005,FS20260310005,CN-00040,2026-04-28T16:39:46.689Z,2026-05-01T16:39:46.689Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-ub571luv,payment_term_confirm,Confirm payment term · FS20260220053,FS20260220053,CN-00037,2026-04-28T16:39:46.690Z,2026-05-01T16:39:46.690Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-xkrup7bp,payment_term_confirm,Confirm payment term · FS20260220047,FS20260220047,CN-00038,2026-04-28T16:39:46.692Z,2026-05-01T16:39:46.692Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-m1d6m5tb,payment_term_confirm,Confirm payment term · FS20260220048,FS20260220048,CN-00038,2026-04-28T16:39:46.694Z,2026-05-01T16:39:46.694Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-vkypnbdp,payment_term_confirm,Confirm payment term · FS20260219031,FS20260219031,CN-00037,2026-04-28T16:39:46.695Z,2026-05-01T16:39:46.695Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-v6gt2g2n,payment_term_confirm,Confirm payment term · FS20260223065,FS20260223065,CN-00040,2026-04-28T16:39:46.697Z,2026-05-01T16:39:46.697Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-6ubduw0e,payment_term_confirm,Confirm payment term · FS20260313006,FS20260313006,CN-00048,2026-04-28T16:39:46.698Z,2026-05-01T16:39:46.698Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-qiyicqqt,payment_term_confirm,Confirm payment term · FS20251222053,FS20251222053,CN-00037,2026-04-28T16:39:46.699Z,2026-05-01T16:39:46.699Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-ocir9f0h,payment_term_confirm,Confirm payment term · FS20260223067,FS20260223067,CN-00040,2026-04-28T16:39:46.700Z,2026-05-01T16:39:46.700Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-tghui9rg,payment_term_confirm,Confirm payment term · FS20260220057,FS20260220057,CN-00037,2026-04-28T16:39:46.702Z,2026-05-01T16:39:46.702Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-yhjki8wz,payment_term_confirm,Confirm payment term · FS20260220052,FS20260220052,CN-00037,2026-04-28T16:39:46.703Z,2026-05-01T16:39:46.703Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-ac12owqw,payment_term_confirm,Confirm payment term · FS20260206023,FS20260206023,CN-00037,2026-04-28T16:39:46.704Z,2026-05-01T16:39:46.704Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-72mlwoqv,payment_term_confirm,Confirm payment term · 40-XZ-1,40-XZ-1,CN-00040,2026-04-28T16:39:46.705Z,2026-05-01T16:39:46.705Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-ak70s29a,payment_term_confirm,Confirm payment term · 42-JJ-1,42-JJ-1,CN-00042,2026-04-28T16:39:46.707Z,2026-05-01T16:39:46.707Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-vfjmcb03,payment_term_confirm,Confirm payment term · FS20260218030,FS20260218030,CN-00037,2026-04-28T16:39:46.708Z,2026-05-01T16:39:46.708Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-7medf9tw,payment_term_confirm,Confirm payment term · FS20260223070,FS20260223070,CN-00040,2026-04-28T16:39:46.710Z,2026-05-01T16:39:46.710Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-u6nx22i9,payment_term_confirm,Confirm payment term · FS20260122017,FS20260122017,CN-00037,2026-04-28T16:39:46.711Z,2026-05-01T16:39:46.711Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-z5awck3q,payment_term_confirm,Confirm payment term · FS20260123020,FS20260123020,CN-00032,2026-04-28T16:39:46.712Z,2026-05-01T16:39:46.712Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-nfsdwayf,payment_term_confirm,Confirm payment term · FS20260223061,FS20260223061,CN-00040,2026-04-28T16:39:46.713Z,2026-05-01T16:39:46.713Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-4q0d7hbs,payment_term_confirm,Confirm payment term · FS20251229060,FS20251229060,CN-00038,2026-04-28T16:39:46.714Z,2026-05-01T16:39:46.714Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-92boycb5,payment_term_confirm,Confirm payment term · FS20260223063,FS20260223063,CN-00040,2026-04-28T16:39:46.715Z,2026-05-01T16:39:46.715Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-xlqf0i70,payment_term_confirm,Confirm payment term · FS20260223071,FS20260223071,CN-00040,2026-04-28T16:39:46.716Z,2026-05-01T16:39:46.716Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-ox087cvi,payment_term_confirm,Confirm payment term · FS20260320008,FS20260320008,CN-00040,2026-04-28T16:39:46.717Z,2026-05-01T16:39:46.717Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-57c4j4vr,payment_term_confirm,Confirm payment term · FS20260203005,FS20260203005,CN-00042,2026-04-28T16:39:46.718Z,2026-05-01T16:39:46.718Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-5oxswua7,payment_term_confirm,Confirm payment term · FS20260205012,FS20260205012,CN-00048,2026-04-28T16:39:46.719Z,2026-05-01T16:39:46.719Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-d7t8654b,payment_term_confirm,Confirm payment term · FS20260206021,FS20260206021,CN-00004,2026-04-28T16:39:46.720Z,2026-05-01T16:39:46.720Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-mztz8f14,payment_term_confirm,Confirm payment term · FS20251229059,FS20251229059,CN-00037,2026-04-28T16:39:46.722Z,2026-05-01T16:39:46.722Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-hvz5f3tj,payment_term_confirm,Confirm payment term · FS20260206019,FS20260206019,CN-00038,2026-04-28T16:39:46.723Z,2026-05-01T16:39:46.723Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-v3a1he28,payment_term_confirm,Confirm payment term · FS20260219033,FS20260219033,CN-00037,2026-04-28T16:39:46.724Z,2026-05-01T16:39:46.724Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-t75lsffr,payment_term_confirm,Confirm payment term · FS20260220036,FS20260220036,CN-00037,2026-04-28T16:39:46.726Z,2026-05-01T16:39:46.726Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-5xu67tsl,payment_term_confirm,Confirm payment term · FS20251230062,FS20251230062,CN-00040,2026-04-28T16:39:46.727Z,2026-05-01T16:39:46.727Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-4qx7e8k6,payment_term_confirm,Confirm payment term · FS20260223072,FS20260223072,CN-00040,2026-04-28T16:39:46.730Z,2026-05-01T16:39:46.730Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-8fa5jxfe,payment_term_confirm,Confirm payment term · FS20260220056,FS20260220056,CN-00038,2026-04-28T16:39:46.731Z,2026-05-01T16:39:46.731Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-qflxbj7z,payment_term_confirm,Confirm payment term · FS20260126025,FS20260126025,CN-00036,2026-04-28T16:39:46.732Z,2026-05-01T16:39:46.732Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-qen7mq27,payment_term_confirm,Confirm payment term · FS20260220035,FS20260220035,CN-00037,2026-04-28T16:39:46.733Z,2026-05-01T16:39:46.733Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-gujahfui,payment_term_confirm,Confirm payment term · FS20260223073,FS20260223073,CN-00040,2026-04-28T16:39:46.734Z,2026-05-01T16:39:46.734Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-xg9wjsay,payment_term_confirm,Confirm payment term · FS20260223068,FS20260223068,CN-00040,2026-04-28T16:39:46.736Z,2026-05-01T16:39:46.736Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-fjhx0w6a,payment_term_confirm,Confirm payment term · FS20260206017,FS20260206017,CN-00038,2026-04-28T16:39:46.737Z,2026-05-01T16:39:46.737Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-cokjcnxt,payment_term_confirm,Confirm payment term · FS20260105001,FS20260105001,CN-00040,2026-04-28T16:39:46.738Z,2026-05-01T16:39:46.738Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-71wn5bkt,payment_term_confirm,Confirm payment term · FS20260205015,FS20260205015,CN-00040,2026-04-28T16:39:46.739Z,2026-05-01T16:39:46.739Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-0xtfpvgc,payment_term_confirm,Confirm payment term · FS20260223074,FS20260223074,CN-00040,2026-04-28T16:39:46.740Z,2026-05-01T16:39:46.740Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-1mjgf3pn,payment_term_confirm,Confirm payment term · FS20260209026,FS20260209026,CN-00037,2026-04-28T16:39:46.741Z,2026-05-01T16:39:46.741Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-9fk90byq,payment_term_confirm,Confirm payment term · FS20260220059,FS20260220059,CN-00037,2026-04-28T16:39:46.742Z,2026-05-01T16:39:46.742Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-4mgwtcej,payment_term_confirm,Confirm payment term · FS20260206020,FS20260206020,CN-00038,2026-04-28T16:39:46.743Z,2026-05-01T16:39:46.743Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-5ozfafto,payment_term_confirm,Confirm payment term · FS20260205013,FS20260205013,CN-00048,2026-04-28T16:39:46.744Z,2026-05-01T16:39:46.744Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-5byn15n9,payment_term_confirm,Confirm payment term · FS20260220050,FS20260220050,CN-00037,2026-04-28T16:39:46.746Z,2026-05-01T16:39:46.746Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-asujfwg9,payment_term_confirm,Confirm payment term · FS20260119016,FS20260119016,CN-00038,2026-04-28T16:39:46.747Z,2026-05-01T16:39:46.747Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-wqyg7s92,payment_term_confirm,Confirm payment term · FS20260219032,FS20260219032,CN-00037,2026-04-28T16:39:46.748Z,2026-05-01T16:39:46.748Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-1atgyyvt,payment_term_confirm,Confirm payment term · FS20260220037,FS20260220037,CN-00037,2026-04-28T16:39:46.750Z,2026-05-01T16:39:46.750Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-ofotbqus,payment_term_confirm,Confirm payment term · FS20260220043,FS20260220043,CN-00037,2026-04-28T16:39:46.751Z,2026-05-01T16:39:46.751Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-8kncx48y,payment_term_confirm,Confirm payment term · FS20260223060,FS20260223060,CN-00040,2026-04-28T16:39:46.752Z,2026-05-01T16:39:46.752Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-sjr3trma,payment_term_confirm,Confirm payment term · FS20260206024,FS20260206024,CN-00037,2026-04-28T16:39:46.753Z,2026-05-01T16:39:46.753Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-lb3m61ir,payment_term_confirm,Confirm payment term · FS20260206018,FS20260206018,CN-00038,2026-04-28T16:39:46.754Z,2026-05-01T16:39:46.754Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-84xwoi47,payment_term_confirm,Confirm payment term · FS20260210027,FS20260210027,CN-00038,2026-04-28T16:39:46.755Z,2026-05-01T16:39:46.755Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-7ac86xco,payment_term_confirm,Confirm payment term · FS20260205014,FS20260205014,CN-00048,2026-04-28T16:39:46.756Z,2026-05-01T16:39:46.756Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-zrmcjjep,payment_term_confirm,Confirm payment term · FS20260220054,FS20260220054,CN-00038,2026-04-28T16:39:46.757Z,2026-05-01T16:39:46.757Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-8ywlsfg1,payment_term_confirm,Confirm payment term · FS20260223064,FS20260223064,CN-00040,2026-04-28T16:39:46.758Z,2026-05-01T16:39:46.758Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-5d9lon4t,payment_term_confirm,Confirm payment term · FS20260418075,FS20260418075,CN-00037,2026-04-28T16:39:46.759Z,2026-05-01T16:39:46.759Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-hht1ooxj,payment_term_confirm,Confirm payment term · FS20260220045,FS20260220045,CN-00038,2026-04-28T16:39:46.760Z,2026-05-01T16:39:46.760Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-ukjvt73b,payment_term_confirm,Confirm payment term · FS20251225056,FS20251225056,CN-00040,2026-04-28T16:39:46.761Z,2026-05-01T16:39:46.761Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-tygnb1gv,payment_term_confirm,Confirm payment term · FS20260220038,FS20260220038,CN-00037,2026-04-28T16:39:46.762Z,2026-05-01T16:39:46.762Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-ork3ka3t,payment_term_confirm,Confirm payment term · FS20251231065,FS20251231065,CN-00038,2026-04-28T16:39:46.763Z,2026-05-01T16:39:46.763Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-wust1j5i,payment_term_confirm,Confirm payment term · FS20260223062,FS20260223062,CN-00040,2026-04-28T16:39:46.764Z,2026-05-01T16:39:46.764Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-beosisk2,payment_term_confirm,Confirm payment term · FS20260206022,FS20260206022,CN-00037,2026-04-28T16:39:46.765Z,2026-05-01T16:39:46.765Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-nmub4270,payment_term_confirm,Confirm payment term · FS20260206016,FS20260206016,CN-00038,2026-04-28T16:39:46.766Z,2026-05-01T16:39:46.766Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-9n1fmjcg,payment_term_confirm,Confirm payment term · FS20260220042,FS20260220042,CN-00038,2026-04-28T16:39:46.768Z,2026-05-01T16:39:46.768Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-plm8misk,payment_term_confirm,Confirm payment term · FS20260407001,FS20260407001,CN-00048,2026-04-28T16:39:46.769Z,2026-05-01T16:39:46.769Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-ipq53j3y,payment_term_confirm,Confirm payment term · FS20260223020-3,FS20260223020-3,CN-00042,2026-04-28T16:39:46.771Z,2026-05-01T16:39:46.771Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-h9yxeq9v,payment_term_confirm,Confirm payment term · FS20260220039,FS20260220039,CN-00037,2026-04-28T16:39:46.772Z,2026-05-01T16:39:46.772Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-p0jzmm90,payment_term_confirm,Confirm payment term · FS20260220044,FS20260220044,CN-00038,2026-04-28T16:39:46.773Z,2026-05-01T16:39:46.773Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
t-pt-ulf9spqu,payment_term_confirm,Confirm payment term · FS20260220041,FS20260220041,CN-00038,2026-04-28T16:39:46.774Z,2026-05-01T16:39:46.774Z,open,mid,NOISE_CANDIDATE,BULK_ARCHIVE_PENDING_DAMON,批次A，批量创建，逾期10天，source=NULL,FALSE,TRUE
